avg_perplexity :  211.42063991634396
['the project gutenberg ebook pride and prejudice by jane austen edited by r', 5.493740330672762]
[' w', 36862.279059826644]
[' robert william chapman demonpronoun ebook is for articlehere use of indefpronoun anywhere at no cost and with almost no restrictions whatsoever', 3.124755674839312]
['org title pride and prejudice author jane austen editor r', 13.412776843727851]
[' w', 36862.279059826644]
[' robert william chapman release date may 9 numhere ebook 42671 language english start of articlehere project gutenberg ebook pride and prejudice e text prepared by greg weeks jon hurst mary meehan and articlehere online distributed proofreading team http www', 131.42656824331038]
['pgdp', 147448.91183177428]
['org note project gutenberg also has articlehere html version of demonpronoun file interpronoun includes articlehere original illustrations', 7.04244373669242]
['htm or 42671 h', 160271033.3192723]
['zip http www', 133.11733862705938]
['org files 42671 42671 h 42671 h', 2795039307908.938]
['htm or http www', 44.069894894517]
['org files 42671 42671 h', 24778314150.103848]
[' see http archive', 120.93752912706879]
['org stream novelstextbasedo02austuoft page n23 mode 2up transcriber s note text enclosed by underscores is in italics italics ', 25233.622641358652]
[' articlehere carat character is used to denote superscription', 13.763039736920536]
[' multiple superscripted characters are enclosed by curly brackets example m rs ', 10.083007590513681]
[' in three volumes', 38.94990878688022]
[' by articlehere author of sense and sensibility', 5.89962065601179]
[' vol', 27646.7172483258]
[' i', 14.574025264695505]
[' london printed for t', 17.17147300165862]
[' egerton military library whitehall', 17.19245822892655]
[' 1813', 36862.279059826644]
[' invented by m rs bell numhere charlotte street bedford square', 11.115126579644368]
[' engraved for no', 120.94894029207676]
[' numhere of la belle assemblee 1 st july 1815 pride prejudice', 281381.0229673403]
[' personpronoun is articlehere truth universally acknowledged demonpronoun articlehere single man in possession of articlehere good fortune must be in want of articlehere wife', 6.211836879001956]
[' however little known articlehere feelings or views of such articlehere man may be on possespronoun first entering articlehere neighbourhood demonpronoun truth is so well fixed in articlehere minds of articlehere surrounding families demonpronoun personpronoun is considered as articlehere rightful property of indefpronoun indefpronoun or indefpronoun of their daughters', 5.694097333419839]
